순번,코드,코드명,ETF기초지수명,유형분류(대),유형분류(중),유형분류(소),상장일,상장폐지일
1,A069500,KODEX 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20021014,
5,A396500,TIGER 반도체TOP10,FnGuide 반도체TOP10 지수,국내주식형,인덱스주식,인덱스주식기타,20210810,
8,A229200,KODEX 코스닥150,코스닥 150,국내주식형,인덱스주식,인덱스주식기타,20151001,
9,A102110,TIGER 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20080403,
10,A278530,KODEX 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식코스피200,20171121,
17,A310970,TIGER MSCI Korea TR,MSCI Korea TR Index,국내주식형,인덱스주식,인덱스주식기타,20181120,
18,A091160,KODEX 반도체,KRX 반도체,국내주식형,인덱스주식,인덱스주식섹터,20060627,
25,A148020,RISE 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20111020,
29,A102780,KODEX 삼성그룹,MKF 삼성그룹지수,국내주식형,인덱스주식,인덱스주식기타,20080521,
33,A292150,TIGER 코리아TOP10,FnGuide TOP10 지수,국내주식형,인덱스주식,인덱스주식기타,20180330,
34,A278540,KODEX MSCI Korea TR,MSCI Korea TR Index,국내주식형,인덱스주식,인덱스주식기타,20171109,
35,A395160,KODEX AI반도체,FnGuide AI반도체지수,국내주식형,인덱스주식,인덱스주식기타,20210730,
36,A232080,TIGER 코스닥150,코스닥 150,국내주식형,인덱스주식,인덱스주식기타,20151112,
39,A466920,SOL 조선TOP3플러스,FnGuide 조선TOP3플러스지수(PR),국내주식형,인덱스주식,인덱스주식기타,20231005,
40,A449450,PLUS K방산,FnGuide K-방위산업 지수,국내주식형,인덱스주식,인덱스주식기타,20230105,
42,A305720,KODEX 2차전지산업,FnGuide 2차전지 산업 지수,국내주식형,인덱스주식,인덱스주식섹터,20180912,
44,A487240,KODEX AI전력핵심설비,iSelect AI 전력핵심설비 지수(Price Return),국내주식형,인덱스주식,인덱스주식기타,20240709,
46,A294400,KIWOOM 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식코스피200,20180423,
47,A395270,HANARO Fn K-반도체,FnGuide K-반도체 지수 (시장가격),국내주식형,인덱스주식,인덱스주식기타,20210730,
51,A315930,KODEX Top5PlusTR,FnGuide TOP 5 Plus Total Return 지수,국내주식형,인덱스주식,인덱스주식기타,20190122,
57,A105190,ACE 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20080925,
61,A152100,PLUS 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20120110,
70,A305540,TIGER 2차전지테마,WISE 2차전지 테마 지수,국내주식형,인덱스주식,인덱스주식섹터,20180912,
75,A455850,SOL AI반도체소부장,FnGuide AI 반도체 소부장 지수,국내주식형,인덱스주식,인덱스주식기타,20230425,
77,A494670,TIGER 조선TOP10,iSelect 조선TOP10 Index(PR),국내주식형,인덱스주식,인덱스주식기타,20241022,
84,A102970,KODEX 증권,KRX 증권,국내주식형,인덱스주식,인덱스주식섹터,20080529,
90,A139260,TIGER 200 IT,코스피 200 정보기술,국내주식형,인덱스주식,인덱스주식섹터,20110406,
91,A463250,TIGER K방산&우주,iSelect K방산&우주,국내주식형,인덱스주식,인덱스주식기타,20230725,
94,A226490,KODEX 코스피,코스피지수,국내주식형,인덱스주식,인덱스주식기타,20150824,
95,A091230,TIGER 반도체,KRX 반도체,국내주식형,인덱스주식,인덱스주식섹터,20060627,
100,A495050,RISE 코리아밸류업,코리아 밸류업 지수,국내주식형,인덱스주식,인덱스주식기타,20241104,
101,A434730,HANARO 원자력iSelect,iSelect 원자력지수 (시장가격),국내주식형,인덱스주식,인덱스주식기타,20220628,
107,A462010,TIGER 2차전지소재Fn,FnGuide 2차전지소재 (Price Return) 지수,국내주식형,인덱스주식,인덱스주식기타,20230713,
108,A138540,TIGER 현대차그룹플러스,MKF 현대차그룹+ FW,국내주식형,인덱스주식,인덱스주식기타,20110310,
115,A237350,KODEX 코스피100,코스피 100,국내주식형,인덱스주식,인덱스주식기타,20160127,
120,A495850,KODEX 코리아밸류업,코리아 밸류업 지수,국내주식형,인덱스주식,인덱스주식기타,20241104,
125,A0091P0,TIGER 코리아원자력,iSelect 코리아 원자력 지수 (Price Return),국내주식형,인덱스주식,인덱스주식기타,20250819,
133,A069660,KIWOOM 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20021014,
139,A0080G0,KODEX 방산TOP10,iSelect 방산 TOP10 지수(Price Return),국내주식형,인덱스주식,인덱스주식기타,20250715,
140,A0117V0,TIGER 코리아AI전력기기TOP3플러스,KEDI 코리아AI전력기기TOP3플러스 지수,국내주식형,인덱스주식,인덱스주식기타,20251021,
142,A364980,TIGER 2차전지TOP10,KRX 2차전지 TOP 10 지수,국내주식형,인덱스주식,인덱스주식섹터,20201007,
143,A091180,KODEX 자동차,KRX 자동차,국내주식형,인덱스주식,인덱스주식섹터,20060627,
144,A469150,ACE AI반도체TOP3+,FnGuide AI 반도체 TOP3+ 지수,국내주식형,인덱스주식,인덱스주식기타,20231017,
147,A293180,HANARO 200,코스피 200,국내주식형,인덱스주식,인덱스주식코스피200,20180330,
149,A270810,RISE 코스닥150,코스닥 150,국내주식형,인덱스주식,인덱스주식기타,20170616,
158,A469070,RISE AI&로봇,iSelect AI&로봇 지수(시장가격),국내주식형,인덱스주식,인덱스주식기타,20231024,
162,A091170,KODEX 은행,KRX 은행,국내주식형,인덱스주식,인덱스주식섹터,20060627,
173,A471990,KODEX AI반도체핵심장비,iSelect AI 반도체핵심장비 지수,국내주식형,인덱스주식,인덱스주식기타,20231121,
176,A496080,TIGER 코리아밸류업,코리아 밸류업 지수,국내주식형,인덱스주식,인덱스주식기타,20241104,
177,A361580,RISE 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식코스피200,20200821,
182,A139230,TIGER 200 중공업,코스피 200 중공업,국내주식형,인덱스주식,인덱스주식섹터,20110406,
185,A277630,TIGER 코스피,코스피지수,국내주식형,인덱스주식,인덱스주식기타,20170831,
188,A295040,SOL 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식코스피200,20180423,
189,A157500,TIGER 증권,FnGuide 증권 지수,국내주식형,인덱스주식,인덱스주식섹터,20120516,
194,A302450,RISE 코스피,코스피지수,국내주식형,인덱스주식,인덱스주식기타,20180724,
204,A307520,TIGER 지주회사,FnGuide 지주회사 지수,국내주식형,인덱스주식,인덱스주식기타,20181108,
211,A421320,PLUS 우주항공&UAM,iSelect 우주항공UAM지수,국내주식형,인덱스주식,인덱스주식기타,20220329,
224,A244580,KODEX 바이오,FnGuide 바이오 지수,국내주식형,인덱스주식,인덱스주식섹터,20160513,
225,A228790,TIGER 화장품,WISE 화장품 지수,국내주식형,인덱스주식,인덱스주식섹터,20151007,
229,A433500,ACE 원자력TOP10,DeepSearch 원자력 TOP 10 지수 (시장가격지수),국내주식형,인덱스주식,인덱스주식기타,20220628,
235,A364970,TIGER 바이오TOP10,KRX 바이오 TOP 10 지수,국내주식형,인덱스주식,인덱스주식섹터,20201007,
238,A290130,RISE ESG사회책임투자,KRX ESG 사회책임경영(S)지수,국내주식형,인덱스주식,인덱스주식기타,20180227,
242,A0098F0,KODEX 원자력SMR,iSelect 원자력SMR 지수(Price Return),국내주식형,인덱스주식,인덱스주식기타,20250916,
244,A0000J0,PLUS 한화그룹주,FnGuide 한화그룹주 지수,국내주식형,인덱스주식,인덱스주식기타,20241224,
255,A354500,ACE 코스닥150,코스닥 150,국내주식형,인덱스주식,인덱스주식기타,20200507,
260,A310960,TIGER 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식코스피200,20181120,
262,A0093A0,RISE AI반도체TOP10,FnGuide AI반도체TOP10 지수,국내주식형,인덱스주식,인덱스주식기타,20250826,
268,A466930,SOL 자동차TOP3플러스,FnGuide 자동차TOP3플러스지수(PR),국내주식형,인덱스주식,인덱스주식기타,20231005,
269,A461950,KODEX 2차전지핵심소재10,FnGuide 2차전지핵심소재10 지수,국내주식형,인덱스주식,인덱스주식기타,20230704,
287,A143860,TIGER 헬스케어,KRX 헬스케어,국내주식형,인덱스주식,인덱스주식섹터,20110718,
289,A0101N0,RISE AI전력인프라,KRX-Akros AI 전력인프라 지수,국내주식형,인덱스주식,인덱스주식섹터,20250923,
292,A213610,KODEX 삼성그룹밸류,WISE 삼성그룹밸류 인덱스,국내주식형,인덱스주식,인덱스주식기타,20150108,
298,A332930,HANARO 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식코스피200,20190828,
300,A471760,TIGER AI반도체핵심공정,iSelect AI반도체핵심공정지수,국내주식형,인덱스주식,인덱스주식기타,20231121,
307,A367760,RISE 네트워크인프라,FnGuide 네트워크 인프라 지수,국내주식형,인덱스주식,인덱스주식기타,20201029,
318,A0005D0,SOL 전고체배터리&실리콘음극재,FnGuide 전고체배터리&실리콘음극재 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20250107,
323,A325010,KODEX 성장주,FnGuide 성장 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20190531,
331,A455860,SOL 2차전지소부장Fn,FnGuide 2차전지 소부장 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20230425,
332,A0092B0,SOL 한국원자력SMR,FnGuide 한국원자력 SMR 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20250819,
334,A475050,ACE KPOP포커스,iSelect K-POP 포커스지수(시장가격),국내주식형,인덱스주식,인덱스주식기타,20240130,
336,A332500,ACE 200TR,코스피 200 TR지수,국내주식형,인덱스주식,인덱스주식코스피200,20190828,
346,A367770,RISE 수소경제테마,FnGuide 수소경제테마 지수,국내주식형,인덱스주식,인덱스주식기타,20201029,
349,A490480,SOL K방산,KEDI K방산 지수(PR),국내주식형,인덱스주식,인덱스주식기타,20241002,
